Name,Language,Stars,Forks,Owner,Created At
cube,Rust,20266,2053,cube-js,2018-09-16T18:58:46Z
RustScan,Rust,19981,1341,bee-san,2020-07-11T20:00:41Z
xi-editor,Rust,19816,706,xi-editor,2016-04-26T23:03:23Z
universal-android-debloater,Rust,19544,1036,0x192,2021-10-07T12:08:51Z
Bend,Rust,19486,482,HigherOrderCO,2023-08-29T20:44:32Z
screenpipe,Rust,19477,1867,screenpipe,2024-06-19T13:23:56Z
spotify-tui,Rust,19240,573,Rigellute,2019-08-16T19:31:53Z
carbonyl,Rust,19198,573,fathyb,2023-01-20T10:58:22Z
hurl,Rust,19032,730,Orange-OpenSource,2020-08-25T14:50:56Z
relay,Rust,18943,1891,facebook,2015-08-10T22:09:16Z
iii,Rust,18356,1214,iii-hq,2025-01-02T17:45:02Z
wasmtime,Rust,18249,1748,bytecodealliance,2017-08-29T14:01:55Z
ruffle,Rust,18229,1042,ruffle-rs,2019-04-25T17:53:32Z
book,Rust,17960,4052,rust-lang,2015-12-11T22:49:49Z
openfang,Rust,17912,2274,RightNow-AI,2026-02-24T23:12:38Z
pyxel,Rust,17556,926,kitao,2018-06-10T04:58:54Z
asciinema,Rust,17470,1029,asciinema,2011-11-21T21:45:44Z
wgpu,Rust,17443,1339,gfx-rs,2018-09-13T19:18:50Z
navi,Rust,17267,551,denisidoro,2019-09-20T13:38:20Z
sqlx,Rust,17220,1634,transact-rs,2019-12-28T10:40:57Z
zola,Rust,17200,1152,getzola,2016-12-06T02:57:25Z
Seelen-UI,Rust,17147,555,eythaann,2024-02-16T18:03:35Z
windmill,Rust,16920,1009,windmill-labs,2022-05-05T02:21:17Z
tikv,Rust,16745,2297,tikv,2015-12-31T04:51:32Z
diem,Rust,16678,2548,diem,2019-04-02T21:51:45Z
rust-analyzer,Rust,16600,2106,rust-lang,2017-12-21T19:24:42Z
ccusage,Rust,16555,688,ccusage,2025-05-29T16:56:50Z
clap,Rust,16532,1200,clap-rs,2015-02-25T13:36:33Z
redox,Rust,16395,1013,redox-os,2015-04-20T17:35:19Z
arnis,Rust,16307,1354,louis-e,2022-09-10T13:42:29Z
obscura,Rust,16183,1116,h4ckf0r0day,2026-04-13T10:31:41Z
hyper,Rust,16155,1763,hyperium,2014-08-30T21:14:33Z
lsd,Rust,16089,504,lsd-rs,2018-11-24T11:04:12Z
pyo3,Rust,15841,979,PyO3,2017-05-13T05:22:06Z
memvid,Rust,15685,1353,memvid,2025-05-27T16:01:08Z
burn,Rust,15479,950,tracel-ai,2022-07-18T23:11:45Z
